fund,year,official_annual_return,source,source_url,notes
ABP,2015,0.027,ABP beleggingsresultaten Rendement 2008-2025,https://www.abp.nl/over-abp/beleggingen/beleggingsresultaten,
ABP,2016,0.095,ABP beleggingsresultaten Rendement 2008-2025,https://www.abp.nl/over-abp/beleggingen/beleggingsresultaten,
ABP,2017,0.076,ABP beleggingsresultaten Rendement 2008-2025,https://www.abp.nl/over-abp/beleggingen/beleggingsresultaten,
ABP,2018,-0.023,ABP beleggingsresultaten Rendement 2008-2025,https://www.abp.nl/over-abp/beleggingen/beleggingsresultaten,
ABP,2019,0.168,ABP beleggingsresultaten Rendement 2008-2025,https://www.abp.nl/over-abp/beleggingen/beleggingsresultaten,
ABP,2020,0.066,ABP beleggingsresultaten Rendement 2008-2025,https://www.abp.nl/over-abp/beleggingen/beleggingsresultaten,
ABP,2021,0.114,ABP beleggingsresultaten Rendement 2008-2025,https://www.abp.nl/over-abp/beleggingen/beleggingsresultaten,ABP meldt dat 2021 is aangepast na definitieve jaarrekening.
ABP,2022,-0.176,ABP beleggingsresultaten Rendement 2008-2025,https://www.abp.nl/over-abp/beleggingen/beleggingsresultaten,
ABP,2023,0.093,ABP beleggingsresultaten Rendement 2008-2025,https://www.abp.nl/over-abp/beleggingen/beleggingsresultaten,
ABP,2024,0.084,ABP beleggingsresultaten Rendement 2008-2025,https://www.abp.nl/over-abp/beleggingen/beleggingsresultaten,ABP meldt dat 2024 is aangepast na definitieve jaarrekening.
ABP,2025,-0.016,ABP beleggingsresultaten Rendement 2008-2025,https://www.abp.nl/over-abp/beleggingen/beleggingsresultaten,
